SalesOrderId,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
10761915,537.0,537.0,0.0,453.4,83.6,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10762048,1850.0,,1850.0,925.0,925.0,,925.0,0.0,,0.0,1850.0,925.0,0.0
10762683,608.0,608.0,0.0,516.8,91.2,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10763555,217.0,217.0,0.0,,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10764774,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10764791,98716.62,46051.75,52664.87,78973.31,19743.31,9210.35,10532.96,237.32,237.32,0.0,52664.87,10532.96,0.0
10765210,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10765342,3670.8,3670.8,0.0,,3670.8,3670.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10765474,846.0,846.0,0.0,507.6,338.4,338.4,0.0,7.58,7.58,0.0,0.0,0.0,0.0
10766009,519.0,519.0,0.0,441.15,77.85,77.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10766513,12908.0,12908.0,0.0,6330.0,5399.0,5399.0,0.0,105.66,105.66,0.0,0.0,0.0,0.0
10766527,2946.0,2946.0,0.0,2504.1,441.9,441.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10766846,1192.0,1192.0,0.0,1013.2,178.8,178.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10766863,4647.46,4647.46,0.0,1095.48,896.3,896.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10767095,4683.0,4683.0,0.0,3980.55,702.45,702.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10767114,4837.5,4837.5,0.0,2538.0,1995.75,1995.75,0.0,37.9,37.9,0.0,0.0,0.0,0.0
10767232,299.0,299.0,0.0,194.35,104.65,104.65,0.0,104.65,104.65,0.0,0.0,0.0,0.0
10767363,1896.32,1896.32,0.0,1561.56,334.76,334.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10767600,684.0,684.0,0.0,581.4,102.6,102.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10767649,20533.61,3143.0,17390.61,14016.07,6517.54,1951.53,4566.01,951.53,951.53,0.0,17390.61,4566.01,0.0
10767917,1368.0,1368.0,0.0,1094.4,273.6,273.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10768267,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10712187,931.0,931.0,0.0,,931.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
