Sales_Order,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
1347139,22952.96,22952.96,0.0,13573.62,8342.34,8342.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347146,924090.86,909713.37,14377.49,589675.32,334415.54,333612.44,803.1,0.0,0.0,0.0,14377.49,803.1,0.0
1347161,26700.0,26700.0,0.0,,13350.0,13350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347168,2119.95,2019.0,100.95,1743.82,376.13,302.85,73.28,0.0,0.0,0.0,100.95,73.28,0.0
1347171,5667.0,1134.0,4533.0,2881.06,2218.94,567.0,1651.94,0.0,0.0,0.0,4533.0,1651.94,0.0
1347178,4096.6,4096.6,0.0,2661.88,1434.72,1434.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347181,748.0,,748.0,374.0,374.0,,374.0,0.0,,0.0,748.0,374.0,0.0
1347188,3914.0,,3914.0,1892.24,2021.76,,2021.76,0.0,,0.0,3914.0,2021.76,0.0
1347192,748.0,,748.0,374.0,374.0,,374.0,0.0,,0.0,748.0,374.0,0.0
1347199,6593.98,6593.98,0.0,4235.5,2318.48,2318.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347200,11279.62,,11279.62,6774.44,4505.18,,4505.18,0.0,,0.0,11279.62,4505.18,0.0
1347219,13095.0,,13095.0,,13095.0,,13095.0,0.0,,0.0,13095.0,13095.0,0.0
1347225,33745.0,33745.0,0.0,18750.0,14995.0,14995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347240,3204.0,,3204.0,2082.6,1121.4,,1121.4,0.0,,0.0,3204.0,1121.4,0.0
1347248,21281.94,21281.94,0.0,12706.5,7705.44,7705.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347254,254444.15,254444.15,0.0,169603.34,76314.69,76314.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347259,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
1347261,8255.7,8255.7,0.0,5153.26,2933.44,2933.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347266,2820.0,2820.0,0.0,1692.0,1128.0,1128.0,0.0,394.8,394.8,0.0,0.0,0.0,0.0
1347306,10424.4,10424.4,0.0,8060.82,2363.58,2363.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347307,3893.0,779.0,3114.0,1958.99,1544.51,389.5,1155.01,0.0,0.0,0.0,3114.0,1155.01,0.0
1347313,9735.26,1947.0,7788.26,4536.6,4225.16,973.5,3251.66,0.0,0.0,0.0,7788.26,3251.66,0.0
1347315,6513.98,6513.98,0.0,4235.5,2278.48,2278.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347330,26695.34,26695.34,0.0,22005.4,4689.94,4689.94,0.0,7353.95,7353.95,0.0,0.0,0.0,0.0
1347342,647.5,,647.5,388.5,259.0,,259.0,0.0,,0.0,647.5,259.0,0.0
1347359,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
1347360,19218.96,19218.96,0.0,12507.58,6711.38,6711.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347369,191840.0,191840.0,0.0,115104.0,76736.0,76736.0,0.0,27187.2,27187.2,0.0,0.0,0.0,0.0
1347376,3995.0,3995.0,0.0,,3995.0,3995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347377,1415.0,1415.0,0.0,849.0,566.0,566.0,0.0,198.1,198.1,0.0,0.0,0.0,0.0
